Player	Position	Team
Harrison Smith	DB	MIN
Antoine Cason	DB	CAR
Leodis McKelvin	DB	BUF
Eric Berry	DB	KC
Jason McCourty	DB	TEN
Rahim Moore	DB	DEN
D.J. Swearinger	DB	HOU
Charles Woodson	DB	OAK
Donte Whitner	DB	CLE
Tyvon Branch	DB	OAK
Chris Conte	DB	CHI
Byron Maxwell	DB	SEA
Glover Quin	DB	DET
Corey Graham	DB	BUF
Johnathan Joseph	DB	HOU
Robert McClain	DB	ATL
Reggie Nelson	DB	CIN
Dawan Landry	DB	NYJ
Eric Reid	DB	SF
Bradley Roby	DB	DEN
Quinton Carter	DB	DEN
Kam Chancellor	DB	SEA
Michael Griffin	DB	TEN
Alan Ball	DB	JAC
Ha'Sean Clinton-Dix	DB	GB
Perrish Cox	DB	SF
Dwight Lowery	DB	ATL
Jerraud Powers	DB	ARI
Troy Polamalu	DB	PIT
Prince Amukamara	DB	NYG
Jairus Byrd	DB	NO
Alfonzo Dennard	DB	NE
Dashon Goldson	DB	TB
William Moore	DB	ATL
Corey White	DB	NO
Shareece Wright	DB	SD
Stevie Brown	DB	NYG
DeAngelo Hall	DB	WAS
Roman Harper	DB	CAR
Tony Jefferson	DB	ARI
LaRon Landry	DB	IND
Cortez Allen	DB	PIT
Antoine Bethea	DB	SF
Robert Blanton	DB	MIN
Rafael Bush	DB	NO
Kareem Jackson	DB	HOU
Ron Parker	DB	KC
Antrel Rolle	DB	NYG
Coty Sensabaugh	DB	TEN
Aqib Talib	DB	DEN
Kyle Fuller	DB	CHI
Tashaun Gipson	DB	CLE
Bernard Pollard	DB	TEN
George Iloka	DB	CIN
Leon Hall	DB	CIN
Josh Evans	DB	JAC
Rashad Johnson	DB	ARI
Barry Church	DB	DAL
Terence Newman	DB	CIN
Trenton Robinson	DB	WAS
Tramon Williams	DB	GB
Rodney McLeod	DB	STL
Malcolm Jenkins	DB	PHI
Kyle Arrington	DB	NE
Morgan Burnett	DB	GB
Winston Guy	DB	JAC
Sterling Moore	DB	DAL
Logan Ryan	DB	NE
Melvin White	DB	CAR
Mike Adams	DB	IND
Joe Haden	DB	CLE
Darrelle Revis	DB	NE
Mark Barron	DB	TB
Alterraun Verner	DB	TB
Aaron Williams	DB	BUF
A.J. Bouye	DB	HOU
Matt Elam	DB	BAL
E.J. Gaines	DB	STL
Darius Butler	DB	IND
Marcus Cooper	DB	KC
Justin Gilbert	DB	CLE
Chris Harris	DB	DEN
Dominique Rodgers-Cromartie	DB	NYG
Greg Toler	DB	IND
Janoris Jenkins	DB	STL
Kemal Ishmael	DB	ATL
Kendrick Lewis	DB	HOU
Ryan Mundy	DB	CHI
Antonio Allen	DB	NYJ
Bradley Fletcher	DB	PHI
Davon House	DB	GB
Eric Weddle	DB	SD
T.J. Ward	DB	DEN
Trumaine McBride	DB	NYG
Morris Claiborne	DB	DAL
Brent Grimes	DB	MIA
George Wilson	DB	TEN
Vontae Davis	DB	IND
Danny McCray	DB	CHI
Leonard Johnson	DB	TB
Nate Allen	DB	PHI
Isaiah Frey	DB	CHI
Dwayne Gratz	DB	JAC
Christopher Owens	DB	KC
Jimmy Wilson	DB	MIA
Husain Abdullah	DB	KC
Bashaud Breeland	DB	WAS
Brandon Flowers	DB	SD
Quintin Demps	DB	NYG
Brandon Meriweather	DB	WAS
Darryl Morris	DB	HOU
T.J. Carrie	DB	OAK
Sam Shields	DB	GB
Sean Smith	DB	KC
Kenny Vaccaro	DB	NO
Ryan Clark	DB	WAS
James Ihedigbo	DB	DET
Jahleel Addae	DB	SD
Darius Slay	DB	DET
Josh Robinson	DB	MIN
Carlos Rogers	DB	OAK
Orlando Scandrick	DB	DAL
Chris Culliver	DB	SF
Xavier Rhodes	DB	MIN
Major Wright	DB	TB
Walt Aikens	DB	MIA
David Amerson	DB	WAS
Will Davis	DB	MIA
Cary Williams	DB	PHI
Usama Young	DB	OAK
Thomas DeCoud	DB	CAR
J.J. Wilcox	DB	DAL
Rashean Mathis	DB	DET
Brice McCain	DB	PIT
T.J. McDonald	DB	STL
K'Waun Williams	DB	CLE
Johnthan Banks	DB	TB
John Cyprien	DB	JAC
Stephon Gilmore	DB	BUF
Casey Hayward	DB	GB
Nickell Robey	DB	BUF
Sergio Brown	DB	IND
Brandon Carr	DB	DAL
Patrick Robinson	DB	NO
Darian Stewart	DB	BAL
Lardarius Webb	DB	BAL
Phillip Adams	DB	NYJ
Blidi Wreh-Wilson	DB	TEN
Dontae Johnson	DB	SF
Jason Verrett	DB	SD
Buster Skrine	DB	CLE
Jimmy Smith	DB	BAL
Reshad Jones	DB	MIA
Zackary Bowman	DB	NYG
Will Blackmon	DB	JAC
Demontre Hurst	DB	CHI
Devin McCourty	DB	NE
Mike Mitchell	DB	PIT
Duke Williams	DB	BUF
Marqueston Huff	DB	TEN
Adam Jones	DB	CIN
E.J. Biggers	DB	WAS
Marcus Burley	DB	SEA
Patrick Chung	DB	NE
Tyrann Mathieu	DB	ARI
Cameron Wake	DL	MIA
Justin Smith	DL	SF
Ryan Davis	DL	JAC
Gerald McCoy	DL	TB
Everson Griffen	DL	MIN
Chris Clemons	DL	JAC
Wallace Gilberry	DL	CIN
Greg Hardy	DL	CAR
Jason Hatcher	DL	WAS
J.J. Watt	DL	HOU
Andre Branch	DL	JAC
Thomas Johnson	DL	MIN
Linval Joseph	DL	MIN
George Johnson	DL	DET
Corey Liuget	DL	SD
Sen'Derrick Marks	DL	JAC
Michael Bennett	DL	SEA
Fletcher Cox	DL	PHI
Cameron Heyward	DL	PIT
DeMarcus Ware	DL	DEN
Jabaal Sheard	DL	CLE
Olivier Vernon	DL	MIA
Carlos Dunlap	DL	CIN
Kyle Williams	DL	BUF
Cliff Avril	DL	SEA
Jason Babin	DL	NYJ
Allen Bailey	DL	KC
Sammie Lee Hill	DL	TEN
Sealver Siliga	DL	NE
Dontari Poe	DL	KC
O'Brien Schofield	DL	SEA
Robert Ayers	DL	NYG
Dwan Edwards	DL	CAR
Karl Klug	DL	TEN
Rob Ninkovich	DL	NE
Tyrunn Walker	DL	NO
Vance Walker	DL	KC
Kroy Biermann	DL	ATL
Mike Daniels	DL	GB
Johnathan Hankins	DL	NYG
Michael Johnson	DL	TB
Datone Jones	DL	GB
Jay Ratliff	DL	CHI
Quinton Coples	DL	NYJ
Aaron Donald	DL	STL
Arthur Jones	DL	IND
Chandler Jones	DL	NE
Justin Tuck	DL	OAK
Muhammad Wilkerson	DL	NYJ
Jared Crick	DL	HOU
Calais Campbell	DL	ARI
Mario Addison	DL	CAR
Jason Pierre-Paul	DL	NYG
Clinton McDonald	DL	TB
Jurrell Casey	DL	TEN
C.J. Mosley	DL	DET
William Gholston	DL	TB
Ropati Pitoitua	DL	TEN
Shea McClellin	DL	CHI
Bennie Logan	DL	PHI
Jared Allen	DL	CHI
Dominique Easley	DL	NE
Haloti Ngata	DL	BAL
Eugene Sims	DL	STL
Kamerion Wimbley	DL	TEN
Sheldon Richardson	DL	NYJ
Tyson Alualu	DL	JAC
Ziggy Ansah	DL	DET
Stefan Charles	DL	BUF
Akiem Hicks	DL	NO
Frank Kearse	DL	WAS
Stephen Paea	DL	CHI
Pat Sims	DL	OAK
Paul Soliai	DL	ATL
Cedric Thornton	DL	PHI
Ricky Jean-Francois	DL	IND
Tommy Kelly	DL	ARI
Mathias Kiwanuka	DL	NYG
Terrance Knighton	DL	DEN
Tony McDaniel	DL	SEA
Robert Geathers	DL	CIN
Jared Odrick	DL	MIA
Corey Peters	DL	ATL
Vince Wilfork	DL	NE
Stansly Maponga	DL	ATL
Kendall Reyes	DL	SD
Derrick Shelby	DL	MIA
Mike Neal	DL	GB
Cameron Jordan	DL	NO
Steve McLendon	DL	PIT
Kelcy Quarles	DL	IND
Ian Williams	DL	SF
C.J. Wilson	DL	OAK
Ego Ferguson	DL	CHI
Ndamukong Suh	DL	DET
Nick Fairley	DL	DET
Tim Jamison	DL	HOU
Cullen Jenkins	DL	NYG
Marcell Dareus	DL	BUF
Malliciah Goodman	DL	ATL
Akeem Spence	DL	TB
Chris Canty	DL	BAL
Cory Redding	DL	IND
Cordarro Law	DL	SD
Da'Quan Bowers	DL	TB
Roy Miller	DL	JAC
Damontre Moore	DL	NYG
Jack Crawford	DL	DAL
Zach Kerr	DL	IND
Ricardo Mathews	DL	SD
Vinny Curry	DL	PHI
Henry Melton	DL	DAL
Joe Vellano	DL	NE
Red Bryant	DL	JAC
Tyson Jackson	DL	ATL
Kawann Short	DL	CAR
Jaye Howard	DL	KC
Chris Jones	DL	NE
Ray McDonald	DL	SF
Brodrick Bunkley	DL	NO
Abry Jones	DL	JAC
Letroy Guion	DL	GB
Armonty Bryant	DL	CLE
Charles Johnson	DL	CAR
Wes Horton	DL	CAR
Damon Harrison	DL	NYJ
Pernell McPhee	DL	BAL
Leger Douzable	DL	NYJ
Sharrif Floyd	DL	MIN
Domata Peko	DL	CIN
Sean Lissemore	DL	SD
Frostee Rucker	DL	ARI
Osi Umenyiora	DL	ATL
Kevin Williams	DL	SEA
Al Woods	DL	TEN
Jordan Hill	DL	SEA
Malik Jackson	DL	DEN
George Selvie	DL	DAL
Desmond Bryant	DL	CLE
Brandon Bair	DL	PHI
Ziggy Hood	DL	JAC
Brandon Williams	DL	BAL
Bruce Irvin	DL	SEA
Derek Wolfe	DL	DEN
Jason Jones	DL	DET
Brian Robison	DL	MIN
Mike Nugent	K	CIN
Caleb Sturgis	K	MIA
Ryan Succop	K	TEN
Matt Bryant	K	ATL
Shaun Suisham	K	PIT
Dan Carpenter	K	BUF
Shayne Graham	K	NO
Steve Hauschka	K	SEA
Cody Parkey	K	PHI
Blair Walsh	K	MIN
Billy Cundiff	K	CLE
Nate Freese	K	DET
Graham Gano	K	CAR
Stephen Gostkowski	K	NE
Robbie Gould	K	CHI
Nick Folk	K	NYJ
Brandon McManus	K	DEN
Chandler Catanzaro	K	ARI
Adam Vinatieri	K	IND
Greg Zuerlein	K	STL
Dan Bailey	K	DAL
Randy Bullock	K	HOU
Nick Novak	K	SD
Josh Scobee	K	JAC
Mason Crosby	K	GB
Phil Dawson	K	SF
Cairo Santos	K	KC
Justin Tucker	K	BAL
Josh Brown	K	NYG
Sebastian Janikowski	K	OAK
Patrick Murray	K	TB
Kai Forbath	K	WAS
Alex Henery	K	DET
Matt Prater	K	DET
Sio Moore	LB	OAK
Jerod Mayo	LB	NE
DeAndre Levy	LB	DET
Luke Kuechly	LB	CAR
Emmanuel Lamur	LB	CIN
Karlos Dansby	LB	CLE
Paul Kruger	LB	CLE
Jamie Collins	LB	NE
Patrick Willis	LB	SF
Paul Posluszny	LB	JAC
Jeremiah Attaochu	LB	SD
Justin Houston	LB	KC
Mychal Kendricks	LB	PHI
Paul Worrilow	LB	ATL
Miles Burris	LB	OAK
Vontaze Burfict	LB	CIN
Bruce Carter	LB	DAL
Trent Cole	LB	PHI
Brandon Marshall	LB	DEN
Bobby Wagner	LB	SEA
Lavonte David	LB	TB
Joplo Bartu	LB	ATL
Larry Foote	LB	ARI
Jarvis Jones	LB	PIT
Wesley Woodyard	LB	TEN
Justin Durant	LB	DAL
Jerrell Freeman	LB	IND
Nate Irving	LB	DEN
Curtis Lofton	LB	NO
Brooks Reed	LB	HOU
Preston Brown	LB	BUF
Josh Mauga	LB	KC
Keenan Robinson	LB	WAS
Brandon Spikes	LB	BUF
Jason Worilds	LB	PIT
Rolando McClain	LB	DAL
Willie Young	LB	CHI
Mason Foster	LB	TB
David Hawthorne	LB	NO
Clay Matthews	LB	GB
C.J. Mosley	LB	BAL
Stephen Tulloch	LB	DET
Anthony Barr	LB	MIN
David Harris	LB	NYJ
Ryan Shazier	LB	PIT
Daryl Smith	LB	BAL
A.J. Hawk	LB	GB
Manti Te'o	LB	SD
Erik Walden	LB	IND
Jacquian Williams	LB	NYG
Ryan Kerrigan	LB	WAS
Dont'a Hightower	LB	NE
DeMario Davis	LB	NYJ
Melvin Ingram	LB	SD
Jelani Jenkins	LB	MIA
DeMeco Ryans	LB	PHI
Elvis Dumervil	LB	BAL
Von Miller	LB	DEN
Jasper Brinkley	LB	MIN
Thomas Davis	LB	CAR
Perry Riley	LB	WAS
Lawrence Timmons	LB	PIT
Tamba Hali	LB	KC
Jerry Hughes	LB	BUF
Calvin Pace	LB	NYJ
Telvin Smith	LB	JAC
Junior Galette	LB	NO
Chad Greenway	LB	MIN
Jason Trusnik	LB	MIA
Sam Acho	LB	ARI
Khalil Mack	LB	OAK
K.J. Wright	LB	SEA
Lance Briggs	LB	CHI
Dane Fletcher	LB	TB
Brian Orakpo	LB	WAS
D'Qwell Jackson	LB	IND
Danny Lansanah	LB	TB
Alec Ogletree	LB	STL
Brian Cushing	LB	HOU
Anthony Hitchens	LB	DAL
Jameel McClain	LB	NYG
Jon Bostic	LB	CHI
Julius Peppers	LB	GB
Michael Wilhoite	LB	SF
Courtney Upshaw	LB	BAL
Nigel Bradham	LB	BUF
James Laurinaitis	LB	STL
D.J. Williams	LB	CHI
Jamari Lattimore	LB	GB
Geno Hayes	LB	JAC
Jarret Johnson	LB	SD
Kyle Wilber	LB	DAL
Donald Butler	LB	SD
Gerald Hodges	LB	MIN
Arthur Moats	LB	PIT
Connor Barwin	LB	PHI
Tahir Whitehead	LB	DET
Brandon Graham	LB	PHI
Avery Williamson	LB	TEN
Prince Shembo	LB	ATL
Kavell Conner	LB	SD
Ramon Humber	LB	NO
A.J. Klein	LB	CAR
Emmanuel Acho	LB	PHI
Keith Rivers	LB	BUF
Bjoern Werner	LB	IND
James-Michael Johnson	LB	KC
Nick Perry	LB	GB
Rey Maualuga	LB	CIN
Ashlee Palmer	LB	DET
Mario Williams	LB	BUF
Danny Trevathan	LB	DEN
Justin Tuggle	LB	HOU
Dan Skuta	LB	SF
Ahmad Brooks	LB	SF
Alex Okafor	LB	ARI
Koa Misi	LB	MIA
Deontae Skinner	LB	NE
Jonathan Massaquoi	LB	ATL
Khaseem Greene	LB	CHI
Shaun Phillips	LB	TEN
John Simon	LB	HOU
Matt Ryan	QB	ATL
Andrew Luck	QB	IND
Matthew Stafford	QB	DET
Carson Palmer	QB	ARI
Jay Cutler	QB	CHI
Peyton Manning	QB	DEN
Nick Foles	QB	PHI
Ben Roethlisberger	QB	PIT
Jake Locker	QB	TEN
Chad Henne	QB	JAC
Joe Flacco	QB	BAL
Drew Brees	QB	NO
EJ Manuel	QB	BUF
Derek Anderson	QB	CAR
Russell Wilson	QB	SEA
Josh McCown	QB	TB
Andy Dalton	QB	CIN
Colin Kaepernick	QB	SF
Geno Smith	QB	NYJ
Tony Romo	QB	DAL
Alex Smith	QB	KC
Philip Rivers	QB	SD
Tom Brady	QB	NE
Ryan Tannehill	QB	MIA
Matt Cassel	QB	MIN
Derek Carr	QB	OAK
Ryan Fitzpatrick	QB	HOU
Brian Hoyer	QB	CLE
Robert Griffin III	QB	WAS
Aaron Rodgers	QB	GB
Eli Manning	QB	NYG
Austin Davis	QB	STL
Shaun Hill	QB	STL
Michael Vick	QB	NYJ
Kirk Cousins	QB	WAS
Cam Newton	QB	CAR
Drew Stanton	QB	ARI
Johnny Manziel	QB	CLE
Ryan Mallett	QB	HOU
Blake Bortles	QB	JAC
Mike Glennon	QB	TB
Teddy Bridgewater	QB	MIN
T.J. Yates	QB	ATL
Matt Hasselbeck	QB	IND
Jason Campbell	QB	CIN
Bruce Gradkowski	QB	PIT
Charlie Whitehurst	QB	TEN
Matt McGloin	QB	OAK
Jimmy Garoppolo	QB	NE
Zach Mettenberger	QB	TEN
Jimmy Clausen	QB	CHI
Christian Ponder	QB	MIN
Matt Moore	QB	MIA
Kyle Orton	QB	BUF
Logan Thomas	QB	ARI
Matt Flynn	QB	GB
Ryan Nassib	QB	NYG
Tyrod Taylor	QB	BAL
Le'Veon Bell	RB	PIT
Marshawn Lynch	RB	SEA
DeMarco Murray	RB	DAL
Knowshon Moreno	RB	MIA
Mark Ingram	RB	NO
Matt Forte	RB	CHI
Chris Ivory	RB	NYJ
Rashad Jennings	RB	NYG
Isaiah Crowell	RB	CLE
Chris Johnson	RB	NYJ
Darren Sproles	RB	PHI
Justin Forsett	RB	BAL
Montee Ball	RB	DEN
Lamar Miller	RB	MIA
Shane Vereen	RB	NE
C.J. Spiller	RB	BUF
Antone Smith	RB	ATL
Arian Foster	RB	HOU
Ryan Mathews	RB	SD
Joique Bell	RB	DET
LeSean McCoy	RB	PHI
Giovani Bernard	RB	CIN
Carlos Hyde	RB	SF
Terrance West	RB	CLE
Jacquizz Rodgers	RB	ATL
Adrian Peterson	RB	MIN
Alfred Morris	RB	WAS
Pierre Thomas	RB	NO
Khiry Robinson	RB	NO
Stepfan Taylor	RB	ARI
Ahmad Bradshaw	RB	IND
Andre Ellington	RB	ARI
Bobby Rainey	RB	TB
Derrick Coleman	RB	SEA
Fred Jackson	RB	BUF
DeAngelo Williams	RB	CAR
Shonn Greene	RB	TEN
LeGarrette Blount	RB	PIT
Reggie Bush	RB	DET
Frank Gore	RB	SF
John Kuhn	RB	GB
Darrel Young	RB	WAS
Roy Helu	RB	WAS
Anthony Dixon	RB	BUF
Toby Gerhart	RB	JAC
Jorvorskie Lane	RB	TB
Steven Jackson	RB	ATL
Benny Cunningham	RB	STL
Trent Richardson	RB	IND
Zac Stacy	RB	STL
Knile Davis	RB	KC
Stevan Ridley	RB	NE
Jeremy Hill	RB	CIN
Matt Asiata	RB	MIN
Darren McFadden	RB	OAK
Jonathan Stewart	RB	CAR
Bernard Pierce	RB	BAL
Robert Turbin	RB	SEA
Silas Redd	RB	WAS
Jonathan Dwyer	RB	ARI
Jed Collins	RB	DET
Eddie Lacy	RB	GB
Danny Woodhead	RB	SD
Bilal Powell	RB	NYJ
Alfred Blue	RB	HOU
Dexter McCluster	RB	TEN
Tommy Bohanon	RB	NYJ
Joe McKnight	RB	KC
Lorenzo Taliaferro	RB	BAL
Kyle Juszczyk	RB	BAL
Donald Brown	RB	SD
Cyrus Gray	RB	KC
Bishop Sankey	RB	TEN
James Starks	RB	GB
Jonathan Grimes	RB	HOU
Daniel Thomas	RB	MIA
Branden Oliver	RB	SD
Andre Williams	RB	NYG
Ben Tate	RB	CLE
Jamaal Charles	RB	KC
Chris Ogbonnaya	RB	CAR
Devonta Freeman	RB	ATL
Travaris Cadet	RB	NO
De'Anthony Thomas	RB	KC
Juwan Thompson	RB	DEN
Doug Martin	RB	TB
Ronnie Hillman	RB	DEN
Darrin Reaves	RB	CAR
George Winn	RB	DET
Jerick McKinnon	RB	MIN
Theo Riddick	RB	DET
Fozzy Whittaker	RB	CAR
Storm Johnson	RB	JAC
Jackie Battle	RB	TEN
Peyton Hillis	RB	NYG
Tre Mason	RB	STL
Joseph Randle	RB	DAL
Lance Dunbar	RB	DAL
Maurice Jones-Drew	RB	OAK
Denard Robinson	RB	JAC
Julius Thomas	TE	DEN
Vernon Davis	TE	SF
Greg Olsen	TE	CAR
Zach Ertz	TE	PHI
Martellus Bennett	TE	CHI
Dwayne Allen	TE	IND
Larry Donnell	TE	NYG
Rob Gronkowski	TE	NE
Delanie Walker	TE	TEN
Anthony Fasano	TE	KC
Niles Paul	TE	WAS
Dennis Pitta	TE	BAL
Jimmy Graham	TE	NO
Antonio Gates	TE	SD
Levine Toilolo	TE	ATL
Kyle Rudolph	TE	MIN
Jared Cook	TE	STL
Jeff Cumberland	TE	NYJ
Travis Kelce	TE	KC
Jordan Cameron	TE	CLE
Zach Miller	TE	SEA
Brandon Myers	TE	TB
Tyler Eifert	TE	CIN
Marcedes Lewis	TE	JAC
Owen Daniels	TE	BAL
Mychal Rivera	TE	OAK
Jim Dray	TE	CLE
Charles Clay	TE	MIA
Joseph Fauria	TE	DET
Heath Miller	TE	PIT
Andrew Quarless	TE	GB
